darija,eng,darija_ar
mttaf9,I agree,متّافق
tsana!,Wait!,تسانا!
chfti,You see,شفتي
kandirha!,I do!,كانديرها!
btab3,Of course,بتابع
wakha!,Ok!,واخا!
law3lm,I don't know,لاوعلم
man3rf,I don't know,مانعرف
chokran!,Thanks!,شوكران!
ok,Ok,أُك
mabghitch!,I refuse!,مابغيتش!
najm,A star,ناجم
najma,A star,ناجما
wakha!,All right!,واخا!
wakha,Ok!,واخا
ta7iyati,Mon plaisir,تاحيياتي
ra2i3,Cool,راإع
m39ol,Reasonable,معقول
momkin,Maybe,مومكين
3lach?,Why?,علاش?
wakha!,All right!,واخا!
mchat!,All right!,مشات!
ra8ib?,Horrible?,راهيب?
kanchof,I see,كانشوف
ah,Yes,أه
3azizi,Oh dear!,عازيزي
hanta,Here you are,هانتا
modhich,Amazing!,مودهيش
mamt2akadch,I'm not sure,مامتأكادش
oh,Oh,أُه
awdiii,"Oh, man.",أوديّي
Tyab?,Cook?,طياب?
momkin,maybe,مومكين
kifach?,what?!,كيفاش?
hanta,There you go,هانتا
bsah,That's right,بساه
matalan,For example,ماتالان
choklat?,Chocolate?,شوكلات?
zhar,Luck!,زهار
mat3raf!,You never know!,ماتعراف!
haha,Haha,هاها
ssbban,Insults,السبّان
tsnnaw,wait,تسنّاو
wakha,All right!,واخا
nchofouk,See you.,نشوفوك
La,no I don't,لا
mota2alli9,brilliant!,موتاألّيق
chb3t.,I'm full.,شبعت.
bSSe77a,To your health,بصّحّا
mbrouk,Congratulations,مبروك
mafhmtch,I don't understand,مافهمتش
ma3rftch,I don't know,ماعرفتش
bch7al?,How much?,بشحال?
chftini,You saw me,شفتيني
machftinich,You didn't see me,ماشفتينيش
makanhtamch,i don't care,ماكانهتامش
machghlich,i don't care,ماشغليش
forchiTa?,A fork?,فورشيطا?
3SSebtini,you made me angry?,عصّبتيني
mat3eSSebnich,don't make me angry,ماتعصّبنيش
matchri8ch,don't buy it,ماتشريهش
mattaklouch,don't eat it,ماتّاكلوش
matcharbouch,don't drink it,ماتشاربوش
kan7esdek,I envy you,كانحسدك
fre7tini,you made me happy,فرحتيني
mansitch,I didn't forget,مانسيتش
mansitkch,I didn't forget you,مانسيتكش
f8emtk,I understand you,فهمتك
kan3ebdek,I worship you,كانعبدك
bghitk,I want you,بغيتك
f8emni,understand me,فهمني
mamt2kkedch,I'm not sure,مامتءكّدش
awili!,what!,أويلي!
maymkench,no way,مايمكنش
ghan7ma9,I'm going crazy,غانحماق
tfare9na,we broke up,تفارقنا
abadan,never,أبادان
kanchejj3ek,I encourage you,كانشجّعك
makanchejj3ekch,I don't encourage you,ماكانشجّعكش
mat3awennich,don't help me,ماتعاونّيش
ghan3a9bek,I'll punish you,غانعاقبك
mat3a9bnich,don't punish me,ماتعاقبنيش
ghlaDiti,you gained weight,غلاضيتي
d3afiti,you lost weight,دعافيتي
khle3tini,you scared me,خلعتيني
bkkitini,you made me cry,بكّيتيني
kan7awel ,I try,كانحاول
ghanzid,I will add,غانزيد
ghanttSewwer,I'll take pictures,غانتّصوّر
jrrebto,I tried it,جرّبتو
mamwellefch,I'm not used to,مامولّفش
kan3e99em,I sanitize,كانعقّم
ghandewwech,I will take a shower,غاندوّش
tbe3ni,follow me,تبعني
8rresto,I broke it,هرّستو
mzeyyit,it's oily,مزيّيت
kanfeddel,I prefer,كانفدّل
bsbabek,because of you,بسبابك
maghanwerrikch,I will not show you,ماغانورّيكش
ghantilicharji8,I will upload it,غانتيليشارجيه
mabghitch,I don't want,مابغيتش
makanTeyyebch,I don't cook,ماكانطيّبش
mal9itoch,I didn't find it,مالقيتوش
9elle3,Guess,قلّع
ma3labalich,I don't know,ماعلاباليش
sffe9,clap your hands,سفّق
berzeTTini,you disturbed me,برزطّيني
matberzTnich,don't disturb me,ماتبرزطنيش
ghan8ajer,I will immigrate,غانهاجر
khanni,he cheated on me,خانّي
kaykhonni,he cheats on me,كايخونّي
macheftekch,I didn't see you,ماشفتكش
b7alach?,Like what?,بحالاش?
bSSa7? ,Really?,بصّاح?
mabi8ch,Not bad,مابيهش
kaybki ,He is crying,كايبكي
kaybtasem,He is smililng,كايبتاسم
kayd7ek ,He is laughing,كايدحك
kaySbben,He does the laundry,كايصبّن
kaydewwech,He takes a shower,كايدوّش
kayberzTni,He is disturbing me,كايبرزطني
makay8emmch,It doesn't matter,ماكايهمّش
ntchawfou,See you,نتشاوفو
matkhafch,Don't worry !,ماتخافش
mabghach,He doesn't want to,مابغاش
mat7errekch,Don't move !,ماتحرّكش
tbe3ni,Follow me,تبعني
f8emt,I got it,فهمت
yalla8!,Come on!,يالّاه!
ma9Sedch,He does not mean it,ماقصدش
mchghoul,He is busy,مشغول
mazal,Not yet,مازال
kanbghik,I love you,كانبغيك
bchwiyya!,Slow down!,بشوييّا!
mtafe9,I agree,متافق
mamtafe9ch,He doesn't agree,مامتافقش
skout,Shut up,سكوت
makay3jbnich,I don't like him,ماكايعجبنيش
fi9!,Wake up!,فيق!
swwelni,Ask me,سوّلني
nod,Get up,نود
staslem,He gives up,ستاسلم
3lach?,Why?,علاش?
chbe3t,I'm full,شبعت
w9ef,Stand up!,وقف
gles!,sit down!,ڭلس!
matbkich,Don't cry,ماتبكيش
mat9aTe3nich,Don't interupt me,ماتقاطعنيش
8anya,That's all right,هانيا
bel3ani,On purpose,بلعاني
3eyye9ti,Enough is enough,عيّقتي
ghber ,Get lost,غبر
s8it,I zoned out,سهيت
kan9ef9ef,I am shaking,كانقفقف
kantre33ed,I am shaking,كانترعّد
3awed,Come again,عاود
9effert8a,I am in a pickle,قفّرتها
tblokiti,You are frozen,تبلوكيتي
ma3reftch,I have no clue,ماعرفتش
ma3ndich ,I don't have it,ماعنديش
makay8emnich,I don't care,ماكايهمنيش
masme3tch,I didn't hear,ماسمعتش
tbel7is,Buttring up,تبلحيس
nNichan,Exacltly,النيشان
serTo,Swallow iit,سرطو
matmedghoch,Don't chew it,ماتمدغوش
makan3eDch,I won't bite,ماكانعضش
t3adelna,We are even,تعادلنا
tab3an,You bet,تابعان
mSa7bin,They are dating,مصاحبين
matgoul8ach,You don't say!,ماتڭولهاش
sber,Hang on!,سبر
berred,Chill out!,برّد
matkhemmemch,Don't sweat it!,ماتخمّمش
matghamerch,Don't put all your eggs in one bascket,ماتغامرش
d7ek!,Smile!,دحك!
tkherbi9,Rubbish!,تخربيق
ma39eltch,I can't remember,ماعقلتش
3adatan,Usually,عاداتان
3oumouman,In general,عومومان
matsewwelnich,Don't ask me,ماتسوّلنيش
sme3,Hear,سمع
katw9e3,It happens,كاتوقع
b7alo,like him,بحالو
chefti?,see?,شفتي?
mat3awed8ach,Don't do it again,ماتعاودهاش
kiTra?,How comes?,كيطرا?
makan7emlouch,I can't stand him,ماكانحملوش
3ellemni,Teach me,علّمني
9errini,Teach me,قرّيني
katsta8el,You deseve it!,كاتستاهل
3te9ni,save me,عتقني
mabghitouch,I don't want it,مابغيتوش
m3a,with,معا
maa,with,ما
m3aya,with me,معايا
maaya,with me,مايا
m3aha,with her,معاها
m3a8a,with her,معاها
m3ahom,with them,معاهوم
m3a8om,with them,معاهوم
m3ahoum,with them,معاهوم
m3a8oum,with them,معاهوم
m3ana,with us,معانا
maana,with us,مانا
m3ah,with him,معاه
m3a8,with him,معاه
maah,with him,ماه
3ndi,I have,عندي
3andi,I have,عاندي
andi,I have,أندي
aandi,I have,اندي
3ndo,he has,عندو
3ando,he has,عاندو
3endo,he has,عندو
aando,he has,اندو
3ndha,she has,عندها
3andha,she has,عاندها
3endha,she has,عندها
3and8a,she has,عاندها
3ndhom,they have,عندهوم
andhoum,they have,أندهوم
aandhom,they have,اندهوم
3andhoum,they have,عاندهوم
3ndna,we have,عندنا
aandna,we have,اندنا
3andna,we have,عاندنا
3endna,we have,عندنا
fia,in me,فيا
fyya,in me,فيّا
fya,in me,فيا
fia,I can,فيا
fyya,I can,فيّا
fya,I can,فيا
fih,in him,فيه
fi8,in him,فيه
fih,he can,فيه
fi8,he can,فيه
fiha,in her,فيها
fi8a,in her,فيها
fiha,she can,فيها
fi8a,she can,فيها
fihom,in them,فيهوم
fi8om,in them,فيهوم
fihoum,in them,فيهوم
fi8oum,in them,فيهوم
fihom,they can,فيهوم
fi8om,they can,فيهوم
fihoum,they can,فيهوم
fi8oum,they can,فيهوم
fina,in us,فينا
fina,we can,فينا
noubti,my turn,نوبتي
nobti,my turn,نوبتي
noubtek,your turn,نوبتك
noubtk,your turn,نوبتك
nobtk,your turn,نوبتك
nobtek,your turn,نوبتك
noubtna,our turn,نوبتنا
nobtna,our turn,نوبتنا
noubtkom,your turn,نوبتكوم
nobtkoum,your turn,نوبتكوم
noubtkoum,your turn,نوبتكوم
noubthom,their turn,نوبتهوم
nobthoum,their turn,نوبتهوم
nobt8om,their turn,نوبتهوم
noubthom,their turn,نوبتهوم
7daya,beside me,حدايا
hdaya,beside me,هدايا
7dak,beside you,حداك
hdak,beside you,هداك
7dah,beside him,حداه
hdah,beside him,هداه
7da8,beside him,حداه
7daha,beside her,حداها
hdaha,beside her,هداها
7da8a,beside her,حداها
7dana,beside us,حدانا
hdana,beside us,هدانا
7dahom,beside them,حداهوم
7dahoum,beside them,حداهوم
7da8om,beside them,حداهوم
hdahoum,beside them,هداهوم
hakka,like this,هاكّا
hokka,like this,هوكّا
8akka,like this,هاكّا
8okka,like this,هوكّا
Safi,alright,صافي
mo7al,not sure,موحال
mou7al,not sure,موحال
mohal,not sure,موهال
mouhal,not sure,موهال
rah,in fact,راه
ra8,in fact,راه
afin,Hi,أفين
afen,Hi,أفن
afine,Hi,أفين
baraka,enough,باراكا
bllati,wait,بلّاتي
blati,wait,بلاتي
bellati,wait,بلّاتي
ballati,wait,بالّاتي
3ibadlah,people,عيبادلاه
ibadlah,people,إبادلاه
lay7fDk,thanks,لايحفضك
lay7afDek,thanks,لايحافضك
lay7fDek,thanks,لايحفضك
lay7afDak,thanks,لايحافضاك
lay7fDk,please,لايحفضك
lay7afDek,please,لايحافضك
lay7fDek,please,لايحفضك
lay7afDak,please,لايحافضاك
laykhllik,please,لايخلّيك
laykhellik,please,لايخلّيك
rdlbal,pay attention,ردلبال
ga3,absolutely,ڭاع
ga3,whatsoever,ڭاع
darija,moroccan dialect,داريجا
ddarija,moroccan dialect,الداريجا
3awttani,again,عاوتّاني
3awdtani,again,عاودتاني
aawttani,again,اوتّاني
3awtani,again,عاوتاني
f,in,ف
ila,if,إلا
sidi,Mr,سيدي
lalla,Mme,لالّا
ssi,Mr,السي
moulay,Mr,مولاي
molay,Mr,مولاي
ah,yes,أه
lla,no,اللا
la,no,لا
3ndi,I have,عندي
aandi,I have,اندي
3endi,I have,عندي
3andi,I have,عاندي
3ndk,you have,عندك
aandak,you have,انداك
3ndk,you have,عندك
3ndo,he has,عندو
aando,he has,اندو
3endo,he has,عندو
3ndha,she has,عندها
aandha,she has,اندها
3nd8a,she has,عندها
3endha,she has,عندها
3ndna,we have,عندنا
aandna,we have,اندنا
3endna,we have,عندنا
3andna,we have,عاندنا
3ndhom,they have,عندهوم
aandhom,they have,اندهوم
3nd8om,they have,عندهوم
3ndhoum,they have,عندهوم
3ndkom,you have,عندكوم
aandkom,you have,اندكوم
3endkom,you have,عندكوم
3ndkoum,you have,عندكوم
mojoud,available,موجود
mojod,available,موجود
kayn,available,كاين
gha+,will,غا+
ghayr,non,غاير
7tta,even,حتّا
htta,even,هتّا
fa9aT,only,فاقاط
ghir,only,غير
gher,only,غر
imkn,could,إمكن
imken,could,إمكن
yemken,could,يمكن
mazal,still,مازال
Tab3an,sure,طابعان
7sen,better,حسن
7ssen,better,حسّن
7san,better,حسان
hsen,better,هسن
yallah,let us,يالّاه
yalla8,let us,يالّاه
chi,some,شي
syyda,lady,سيّدا
syda,lady,سيدا
swa,whether,سوا
smo7at,i am sorry,سموحات
ssmo7at,i am sorry,السموحات
ssmou7at,i am sorry,السموحات
chokran,thank you,شوكران
lhajj,Mr.,لهاجّ
l7ajj,Mr.,لحاجّ
lhajja,Mrs.,لهاجّا
l7ajja,Mrs.,لحاجّا
m3llm,Mr.,معلّم
m3allam,Mr.,معالّام
m3llem,Mr.,معلّم
chrif,Mr.,شريف
chchrif,Mr.,الشريف
chrifa,Mrs.,شريفا
chchrifa,Mrs.,الشريفا
n3amasidi,Mr.,نعاماسيدي
n3amalalla,Mrs.,نعامالالّا
bS77a,cheers,بصحّا
bSe77a,cheers,بصحّا
bSa77a,cheers,بصاحّا
bS7a,cheers,بصحا
srbi,hurry,سربي
serbi,hurry,سربي
sarbi,hurry,ساربي
mazal,not yet,مازال
7bes,stop,حبس
7bs,stop,حبس
gollia,tell me,ڭولّيا
hahoa,here it is,هاهوا
hahowa,here it is,هاهووا
8a8oa,here it is,هاهوا
hahia,here she is,هاهيا
hahya,here she is,هاهيا
8a8ya,here she is,هاهيا
hahoma,here they are,هاهوما
8a8oma,here they are,هاهوما
yallah,just,يالّاه
b7ra,just,بحرا
be7ra,just,بحرا
ba7ra,just,باحرا
yallah,let us go,يالّاه
mchina,let us go,مشينا
yasalam,impressive,ياسالام
berra,outside,برّا
brra,outside,برّا
ssfli,ground floor,السفلي
ssefli,ground floor,السفلي
3Tini,give me,عطيني
akid,sure,أكيد
2akid,sure,أكيد
wakha,ok,واخا
wa5a,ok,واخا
mamsalich,busy,مامساليش
ahlan,hello,أهلان
a8lan,hello,أهلان
2a8lan,hello,أهلان
salam,Hi,سالام
salamo3alaykom,Hello,سالاموعالايكوم
salamo3laikom,Hello,سالاموعلايكوم
mr7ba,welcome,مرحبا
mer7ba,welcome,مرحبا
mar7ba,welcome,مارحبا
merhba,welcome,مرهبا
bikhir,fine,بيخير
bi5ir,fine,بيخير
bslama,goodbye,بسلاما
beslama,goodbye,بسلاما
3afak,please,عافاك
afak,please,أفاك
eafak,please,إافاك
idan,so,إدان
blmonasaba,by the way,بلموناسابا
belmounasaba,by the way,بلموناسابا
blmonaasaba,by the way,بلموناسابا
fhemt,I get it,فهمت
f8emt,I get it,فهمت
fhmt,I get it,فهمت
f8mt,I get it,فهمت
b7alb7al,either way,بحالبحال
ti99en,make sure,تيقّن
ty99en,make sure,تيقّن
Thella,take care,طهلّا
T8ella,take care,طهلّا
Thela,take care,طهلا
Thalla,take care,طهالّا
bsse7!,really!,بسّح!
bSSa7!,really!,بصّاح!
beSSe7!,really!,بصّح!
3la9all,at least,علاقالّ
3ella9ell,at least,علّاقلّ
bss7,really,بسّح
bssa7,really,بسّاح
bssah,really,بسّاه
bsse7,really,بسّح
wah,really,واه
wa8,really,واه
wayli,really,وايلي
waili,really,وايلي
mouldar,husband,مولدار
moulatdar,wife,مولاتدار
Sba7lkhir,good morning,صباحلخير
msalkhir,good evening,مسالخير
hamdolah,thank god,هامدولاه
hamdolilah,thank god,هامدوليلاه
lhamdolah,thank god,لهامدولاه
mtchrrfin,nice to meet you,متشرّفين
metcherrfin,nice to meet you,متشرّفين
mtcharrfin,nice to meet you,متشارّفين
mtcherrfin,nice to meet you,متشرّفين
l3afw,you are welcome,لعافو
l3afow,you are welcome,لعافوو
layesser,good luck,لايسّر
mbrouk,congratulations,مبروك
mebrouk,congratulations,مبروك
mabrouk,congratulations,مابروك
mbrok,congratulations,مبروك
bS77a,your good health,بصحّا
bSS7a,your good health,بصّحا
39balik,I wish the same for you,عقباليك
3o9balik,I wish the same for you,عوقباليك
redlbal,be careful,ردلبال
hania,do not worry,هانيا
nchoufouk,see you,نشوفوك
fkkrni,remind me,فكّرني
fekkerni,remind me,فكّرني
fakkerni,remind me,فاكّرني
tfDDl,please come in,تفضّل
tfDDel,please come in,تفضّل
tfeDDel,please come in,تفضّل
tfaDDal,please come in,تفاضّال
fink,where are you,فينك
finek,where are you,فينك
makaytSenne3ch,cool,ماكايتصنّعش
aji,hey,أجي
moul,possessor of,مول
mol,possessor of,مول
l,the,ل
el,the,إل
al,the,أل
wa7d,a,واحد
wahd,a,واهد
wa7d,an,واحد
wahd,an,واهد
ayy,any,أيّ
akhor,another,أخور
a5or,another,أخور
Tmmer,turning a blind eye,طمّر
myyek,turning a blind eye,ميّك
mataymregch,unashamed,ماتايمرڭش
3llah,randomly,علّاه
blkheff,quickly,بلخفّ
Tal9ha,he is lying,طالقها
tania,second,تانيا
thania,second,تهانيا
d9i9a,minute,دقيقا
daqiqa,minute,داقيقا
da9i9a,minute,داقيقا
sa3a,hour,ساعا
yawm,day,ياوم
youm,day,يوم
nhar,day,نهار
lbar7,yesterday,لبارح
lbare7,yesterday,لبارح
lbareh,yesterday,لباره
lbarh,yesterday,لباره
daba,now,دابا
drok,now,دروك
lyom,today,ليوم
liom,today,ليوم
lioma,today,ليوما
lyoma,today,ليوما
ghdda,tomorrow,غدّا
ghedda,tomorrow,غدّا
ghadda,tomorrow,غادّا
wellbar7,the day before yesterday,ولّبارح
wallbare7,the day before yesterday,والّبارح
wllbare7,the day before yesterday,ولّبارح
simana,week,سيمانا
semana,week,سمانا
ch8r,month,شهر
ch8ar,month,شهار
chher,month,شهر
chhar,month,شهار
3am,year,عام
9rn,century,قرن
9arn,century,قارن
9ern,century,قرن
qarn,century,قارن
tnin,monday,تنين
ttnin,monday,التنين
tlat,tuesday,تلات
ttlat,tuesday,التلات
larb3,wednesday,لاربع
larba3,wednesday,لارباع
larbe3,wednesday,لاربع
lkhmis,thursday,لخميس
l5miss,thursday,لخميسّ
lakhmis,thursday,لاخميس
lekhmis,thursday,لخميس
jm3a,friday,جمعا
jam3a,friday,جامعا
jem3a,friday,جمعا
jjm3a,friday,الجمعا
sbt,saturday,سبت
ssbt,saturday,السبت
sabt,saturday,سابت
ssebt,saturday,السبت
l7d,sunday,لحد
l7ed,sunday,لحد
l7add,sunday,لحادّ
l7edd,sunday,لحدّ
wikand,weekend,ويكاند
lwikand,weekend,لويكاند
