darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl
قبط,catch,Steal,Steal,eat,steal,grab,steal
ڭبض,catch,Grab,Take,grab,grab,grab,grab
ناض,get up,Get up,stand,stand,stand,get up,stand
داز,pass,Pass,Pass,pass,pass,pass,pass
حبس,stop,Imprisonment,imprison,detain,detain,imprison,imprison
قيّد,note,Tie,restrict,arrest,tie,restrain,restrain
ولّف,habituate,Wrap,Wrap,wrap,wrap,wrap,wrap
خلّط,mix,Mix,mix,mix,mix,mix,mix
ڭيّد,mislead,Think,restrict,think,cook,think,write
حرڭ,burn,Laugh,Argue,argue,argue,argue,argue
حرق,burn,Burn,burn,burn,burn,burn,burn
ستاغل,exploit,Enjoy,Work,chill,work,overcharge,use
كما,smoke,Eat,like,eat,like,stand up,stand
حدّر,warn,Laugh,Warn,dance,prepare,whisper,warn
باس,kiss,Pass,Pass,give,kiss,pass,pass
علن,announce,Announce,announce,announce,announce,announce,announce
ختابر,evaluate,Chat,Experience,search,try,try,test
تنفّس,breathe,Breathe,breathe,breathe,breathe,breathe,breathe
فات,exceed,Pass,Miss,pass,miss,pass,miss
صادق,approve,Believe,Believe,speak,be honest,tell the truth,be truthful
حتلّ,occupy,Invade,occupy,eat,wait,wait,clean
حرّر,free,Edit,Free,free,free,liberate,free
بتاسم,smile,laughing,Smile,pour,smile,pour,smile
حفر,dig,Dig,Dig,dig,dig,dig,dig
حتارم,respect,Respect,Respect,respect,respect,respect,hesitate
هدّد,threaten,Threaten,threaten,threaten,threaten,threaten,threaten
لغا,cancel,To go,to go,sleep,sleep,turn on,leave
خزن,store,Store,store,store,store,store,store
نضّم,organize,Organize,organize,organize,organize,organize,organize
نوّر,shine,Illuminate,Illuminate,Illuminate,light,light up,light up
حلف,swear,Swear,swear,swear,swear,swear,swear
حلم,dream,Dream,dream,dream,dream,dream,dream
صرط,absorb,Drive,walk,drive,walk,slip,walk
بلوكا,block,Block,Block,eat,play,block,block
ستابق,anticipate,Run,race,run,run,race,race
اتهم,accuse,Accuse,accuse,accuse,accuse,accuse,accuse
غوّت,shout,Dance,Scream,sleep,swim,dive,dive
أتّر,affect,Laugh,Wait,wait,wait,wait,wait
رتّب,arrange,Arrange,arrange,arrange,arrange,organize,organize
عتاقل,arrest,Laughing,Neglect,eat,cook,argue,hesitate
نبح,bark,bark,bark,bark,bark,bark,bark
خان,betray,Bet,to stay,bet,eat,betray,stay
تحاطّ,bet,Surround,surround,surround,surround,surround,surround
ختالف,differ,Argue,differ,argue,differ,argue,disagree
حتافض,keep,Laugh,convince,clean,clean,clean,clean
طار,fly,Fly,fly,fly,fly,fly,fly
بان,appear,See,see,appear,appear,appear,sell
جرّ,pull,Run,drag,pour,drag,drag,drag
هزّ,lift,Shake,shake,shake,shake,shake,shake
رجع,return,Come,return,return,return,come back,return
طاح,fall,Fall,fall,fall,fall,fall,fall
عرف,know,Know,know,know,know,know,know
نسا,forget,Forget,Forget,forget,forget,forget,forget
وصف,describe,Describe,describe,describe,describe,describe,describe
ترجم,translate,كيسرق - Steal,Translate,drink,translate,translate,translate
وعد,promise,Promise,promise,promise,promise,promise,promise
قلّب,search,Flip,Turn,flip,turn,flip,flip
حبّ,love,Love,love,love,love,love,love
عاش,live,Live,live,live,live,live,live
سكن,live,Live,live,live,live,reside,live
خلّص,pay,Finish,Finish,finish,finish,finish,finish
سدّ,close,Block,block,block,close,block,block
وقف,stand up,Stop,stop,stop,stop,stop,stop
ستخدم,use,Use,Use,use,use,use,use
ستالم,receive,Receive,Receive,receive,suffer,suffer,receive
فشل,fail,Fail,fail,fail,fail,fail,fail
سبّ,insult,Insult,to insult,insult,curse,insult,curse
شكا,complain,Complain,complain,complain,complain,complain,complain
فضح,expose,Expose,Expose,expose,expose,expose,expose
عتادر,apologize,Apologize,Apologize,apologize,help,apologize,apologize
عنّڭ,hug,Laugh,Answer,understand,understand,understand,understand
ندم,regret,Regret,regret,regret,regret,regret,regret
عطس,sneeze,Sneezing,sneeze,sneeze,sneeze,sneeze,sneeze
كحب,cough,Laugh,To love,cough,like,cough,like
أجّل,postpone,Postpone,Delay,postpone,delay,postpone,postpone
تعاون,cooperate,Cooperate,cooperate,help,help,help,help
تبادل,exchange,Exchange,exchange,exchange,exchange,exchange,exchange
قاطع,boycott,Interrupt,Interrupt,cut,stop,interrupt,interrupt
تطوّع,volunteer,Volunteer,volunteer,volunteer,volunteer,volunteer,volunteer
تجنّب,avoid,Avoid,Avoid,avoid,avoid,avoid,avoid
همل,neglect,Sleep,To whisper,sleep,carry,slack off,whisper
تلاقا,meet,Meet,meet,meet,meet,meet,meet
تجسّس,spy,Spying,Spy,spy,spy,spy,spy
نتاقم,revenge,Revenge,avenge,revenge,revenge,revenge,revenge
دفن,bury,bury,bury,bury,bury,bury,bury
غلب,defeat,Win,defeat,defeat,defeat,overcome,defeat
كان,be,be,be,be,be,be,be
بغا,want,Want,want,want,want,want,want
قدر,can,Can,can,cook,can,estimate,be able
ڭدّ,can,Laugh,Say,eat,cut,hurry,cut
دار,make,House,to do,do,do,do,live
خدا,take,Take,Take,take,take,take,take
شاف,look,See,see,see,see,see,see
خلّا,let,Let it be,Let.,let,let,let,let
بان,seem,dance,see,appear,appear,appear,sell
تضمّن,include,Include,include,include,include,include,include
تحرّك,move,Move,move,move,move,move,move
ضار,turn,Harm,harm,harm,harm,harm,harm
عتابر,consider,Consider,consider,consider,travel,consider,travel
خلّا,allow,Let it be,Let.,let,let,let,let
تمنّا,hope,Wish,wish,wish,wish,wish,wish
نتج,produce,produce,produce,produce,produce,produce,produce
بقا,stay,Stay,stay,stay,stay,stay,stay
شدّ,hold,Pull,pull,pull,pull,pull,pull
توقّع,expect,Expect,expect,expect,expect,expect,expect
ضمن,ensure,Invite,guarantee,hug,guarantee,include,guarantee
هزّ,carry,Shake,shake,shake,shake,shake,shake
عرض,offer,Present,present,present,present,present,present
دعم,support,Support,Support,support,support,support,support
هضر,speak,Speak,speak,speak,speak,speak,speak
دوا,speak,Cure,Bring,take,cure,heal,cure
قاد,lead,Drive,drive,drive,drive,drive,drive
بقا,remain,Stay,stay,stay,stay,stay,stay
وقف,stand,Stop,stop,stop,stop,stop,stop
وڭف,stand,Listen,Stand,eat,stand,stop,stop
قتارح,suggest,Propose,Decide,suggest,cut,suggest,leave
طوّر,develop,Develop,Develop,develop,develop,develop,develop
ڭلس,sit,Laugh,Eat,eat,eat,smile,swallow
ڭادّ,create,Laugh,Return,go,call,hurry,call
صاوب,create,Work,Fix,work,cook,fix,fix
اتفق,agree,Agree,agree,agree,agree,agree,agree
طبّق,apply,Apply,Apply,cook,apply,apply,apply
كوّن,form,Form,form,build,form,create,form
زاد,increase,Increase,increase,increase,increase,increase,increase
لتاحق,join,To search,To search,understand,understand,search,investigate
نقّص,reduce,Lack,lack,lack,lack,subtract,decrease
نقد,save,Critique,criticize,criticize,criticize,criticize,criticize
تطلّب,require,Request,to request,order,ask,require,request
حقق,achieve,Achieve,Achieve,achieve,achieve,achieve,achieve
حبس,prevent,Imprisonment,imprison,detain,detain,imprison,imprison
تعامل,deal,Deal,deal,deal,deal,deal,deal
تواجه,face,Face,face,face,face,face,face
غطّا,cover,Cover,Cover,cover,cover,cover,cover
طوّر,improve,Develop,Develop,improve,develop,develop,develop
مال,tend,Spend,To go,spend,go,spend,lean
رسم,draw,Draw,draw,draw,draw,draw,draw
تحرّك,act,Move,move,move,move,move,move
عزل,pick,Isolation,Isolate,isolate,isolate,isolate,isolate
ختار,pick,Choose,Choose,choose,choose,choose,choose
كلّف,cost,Assign,assign,eat,assign,assign,assign
سوا,cost,Do,Do,do,do,do,do
برهن,prove,Show,prove,prove,prove,prove,prove
وقع,occur,Fall,fall,fall,fall,fall,fall
تناقش,discuss,Discuss,discuss,discuss,discuss,discuss,discuss
ڭابل,maintain,Accept,Accept,accept,accept,accept,accept
سالا,end,Ask,ask,ask,ask,ask,ask
كمّل,end,كمّل - Complete,Complete,continue,complete,continue,complete
كاين,exist,Exist,have,exist,have,exist,exist
قصد,seek,Mean,intend,cut,intend,cut,intend
قلّب,check,Flip,Turn,flip,turn,flip,flip
نفع,serve,Benefit,benefit,help,benefit,benefit,benefit
قسم,share,Divide,divide,swear,swear,swear,swear
پارتاجا,share,Share,Share,share,share,share,share
نشء,establish,Create,to create,grow,grow,create,grow
أسّس,establish,Found,Establish,establish,establish,establish,establish
تحكّم,control,Control,control,control,control,control,control
جاوب,answer,Answer,answer,answer,answer,answer,answer
حدّد,identify,Choose,determine,choose,determine,define,define
عتانا,care,Laugh,Argue,invite,invite,argue,argue
مكّن,enable,Enable,enable,enable,enable,enable,enable
طالب,claim,Study,to ask,study,study,demand,ask
كسب,obtain,Win,earn,win,earn,win,earn
متّل,represent,imitate,To imitate,imitate,paint,imitate,paint
تضمّن,contain,Include,include,include,include,include,include
غلب,beat,Win,To defeat,overcome,defeat,overcome,defeat
تشطن,worry,Cooking,To swim,eat,swim,clean,swim
تحمّل,bear,Bear,bear,endure,tolerate,bear,bear
سدّ,shut,Block,block,block,close,block,block
تساءل,wonder,Wonder,wonder,wonder,wonder,wonder,wonder
ناسب,fit,Match,Fit,suit,suit,suit,suit
تعلّق,regard,Hang,hang,hang,hang,hang,hang
حطّ,place,Put,Put,put,put,put,put
شمل,involve,Smell,Include,smell,include,include,include
اتصل,contact,Call,call,call,call,call,call
فتارض,assume,Accept,agree,agree,agree,agree,agree
أشار,indicate,Point,point,point,point,point,point
خدم,operate,Work,Work,work,work,serve,work
تصرّف,manage,Behave,behave,behave,behave,behave,behave
تأقلم,cope,Adapt,Adapt,adapt,adapt,adapt,adapt
حدّد,determine,Choose,determine,choose,determine,define,determine
عكس,reverse,Oppose,reverse,oppose,reverse,opposite,reverse
أشار,refer,Pointed,point,point,point,point,point
ربح,gain,Win,win,win,win,win,win
فحص,examine,Check,examine,check,examine,check,check
فضّل,prefer,Prefer,prefer,prefer,prefer,prefer,prefer
عتارف,admit,Confess,Admit,confess,confess,confess,confess
ردّ,respond,Answer,to reply,answer,answer,answer,answer
جاوب,respond,Answer,Answer,answer,answer,answer,answer
عتامد,depend,depend,rely,depend,trust,rely,rely
نجا,survive,Survive,escape,survive,escape,escape,escape
لاحض,notice,Notice,Notice,notice,notice,notice,notice
نتج,result,produce,produce,produce,produce,produce,produce
بدّل,replace,Change,change,change,change,change,change
كمّل,complete,كمّل - Complete,Complete,continue,complete,continue,continue
رتافع,rise,Laugh,Elevate,stand up,stand up,stand up,lift
قدّم,present,Present,present,present,present,present,offer
نشء,arise,Create,to create,grow,grow,create,raise
أشار,point,Point,point,point,point,point,point
روّج,promote,Promote,Advertise,promote,massage,apply makeup,massage
شجّع,promote,Encourage,Encourage,encourage,encourage,cheer,encourage
أدى,perform,Perform,perform,perform,perform,perform,perform
مدّد,extend,Extend,Extend,extend,extend,extend,extend
أشار,mention,Point,point,point,point,point,point
ختالف,vary,Argue,differ,argue,differ,disagree,differ
فاد,benefit,Help,help,understand,help,help,redeem
عالج,treat,Treat,Treat,treat,treat,treat,treat
علّق,hang,Hang,Hang,hang,hang,hang,hang
طيّح,drop,Fall,Fall,fall,fall,fall,fall
بلّغ,report,Inform,reach,inform,reach,inform,inform
صبّ,cast,Pouring,Pour.,pour,pour,pour,pour
ختابر,test,Chat,Test,search,try,try,test
أمّن,secure,Secure,Believe,sleep,believe,secure,secure
طوّل,last,To lengthen,Lengthen,lengthen,lengthen,lengthen,lengthen
وافق,match,Agree,agree,agree,agree,agree,agree
قدّر,assess,Appreciate,estimate,appreciate,appreciate,appreciate,estimate
ساهم,contribute,Contribute,help,contribute,help,contribute,contribute
مدّ,supply,Stretch,Extend,stretch,stretch,extend,extend
علن,state,Announce,announce,announce,announce,announce,announce
قدّر,appreciate,Appreciate,estimate,appreciate,appreciate,appreciate,estimate
رتابط,relate,Link,Communicate,connect,communicate,connect,communicate
تغلّب,overcome,Overcome,overcome,overcome,overcome,overcome,overcome
تخلّص,rid,Finish,Get rid of,finish,finish,get rid of,get rid of
حاول,attempt,Try,try,try,try,try,try
حتافض,retain,Laugh,convince,clean,clean,clean,clean
تكلّف,handle,Cost,Cost,cost,cost,cost,cost
جدب,attract,Steal,Pull,steal,swim,attract,attract
ساعد,assist,Help,help,help,help,help,help
عاون,assist,Help,help,help,help,help,help
أتّر,influence,Laugh,Wait,wait,wait,wait,wait
حدّد,mark,Choose,determine,choose,determine,define,define
فكّر,recall,Think,think,think,think,think,think
سينا,sign,Laughing,Teach,watch,sleep,watch,sleep
خاف,fear,Fear,fear,fear,fear,fear,fear
لصق,stick,Paste,Paste,paste,stick,paste,paste
سوّا,settle,Do,To do,do,do,do,do
ريڭل,settle,Dance,Dance,dance,dance,dance,paint
قارن,compare,Compare,compare,compare,compare,compare,compare
حسب,account,Watch,Calculate,depend,calculate,depend,consider
حقّق,investigate,Achieve,Achieve,achieve,achieve,achieve,achieve
نقّا,clear,Clean,Clean,clean,clean,cleanse,clean
سجّل,record,Register,register,register,register,register,register
شجّل,record,Encourage,Register,dance,call,ignite,ignite
كتاشف,explore,Discover,Discover,discover,discover,discover,discover
لام,blame,Refuse,To learn,curse,understand,curse,curse
عبر,cross,Pass,Express,cross,cross,cross,cross
عاق,realize,Disobey,disobey,disobey,disobey,disobey,disobey
ركّز,focus,Focus,Focus,focus,focus,focus,focus
وصّل,deliver,Arrive,arrive,arrive,connect,deliver,connect
شرع,proceed,Start,begin,begin,begin,start,start
زعج,bother,Annoy,annoy,bother,annoy,bother,annoy
برزط,bother,Dance,To iron,dance,knock,haggle,knock
رفض,refuse,Refuse,refuse,refuse,refuse,refuse,refuse
فرض,force,Impose,impose,impose,impose,impose,impose
عتاقد,reckon,Believe,Think,think,think,believe,believe
عزم,intend,Invite,intend,invite,decide,determine,intend
نصح,advise,Advise,advise,advise,advise,advise,advise
كتاسب,acquire,Earn,Earn,study,earn,earn,earn
سترجع,recover,Return,return,return,return,return,return
نشء,generate,Create,grow,grow,grow,create,grow
تميّز,distinguish,Distinguish,distinguish,distinguish,distinguish,distinguish,distinguish
شتابه,suspect,To chat,hurry,chat,hurry,chat,hurry
كسب,earn,Win,earn,win,earn,win,earn
موّل,finance,Fund,Fund,finance,lend,finance,finance
هدم,destroy,Destroy,destroy,destroy,destroy,demolish,destroy
تبع,pursue,Follow,Follow,follow,follow,follow,follow
علّق,comment,Hang,Hang,hang,hang,hang,hang
رضا,satisfy,Acceptance,agree,agree,agree,agree,agree
تنافس,compete,Compete,compete,compete,compete,compete,compete
قاوم,resist,Resist,resist,resist,resist,resist,resist
لاءم,suit,Fit,Fit,fit,fit,fit,fit
خاطب,address,Address,address,speak,propose,address,address
حلّ,solve,Solve,Solve,solve,solve,solve,solve
بدّل,alter,Change,change,change,change,change,change
فرض,impose,Impose,impose,impose,impose,impose,impose
عرض,display,Present,present,present,present,present,present
ناشد,appeal,Appeal,request,sing,ask,appeal,plead
طلق,release,Divorce,Divorce,divorce,divorce,fire,shoot
فرز,sort,Sort,Sort,sort,sort,sort,sort
رتّب,sort,Arrange,arrange,arrange,organize,organize,organize
ختار,select,Choose,Choose,choose,choose,choose,choose
عبر,measure,Pass,Express,cross,cross,cross,cross
وصّا,recommend,Advise,advise,advise,advise,advise,command
طلب,order,Ask,ask,ask,ask,request,ask
أمر,order,Order,order,order,order,order,order
نقل,transfer,Move,move,move,move,move,move
هجم,attack,Attack,attack,attack,attack,attack,attack
توسّع,expand,Expand,expand,expand,expand,expand,expand
تكركب,roll,Ride,ride,ride,ride,ride,ride
نفاجر,burst,Argue,Argue,explode,provoke,explode,explode
تعهّد,undertake,Commit,commit,promise,commit,commit,commit
تساراح,relax,To walk,Run,walk,walk,relax,relax
تصرّف,behave,Behave,behave,behave,behave,behave,behave
دكّر,remind,Remind,Remind,remind,remind,remind,remind
فكّر,remind,Think,think,think,think,think,think
راجع,review,Review,review,return,review,review,review
نهج,approach,Drive,guide,walk,guide,guide,guide
رجّع,restore,Return,return,return,return,bring back,return
صدر,issue,Cook,To release,release,publish,publish,release
صاڭ,ride,Laugh,Wake,drive,swim,drive,swim
شكّل,constitute,Shape,Form,form,shape,shape,shape
ڭلب,switch,Steal,Ask,eat,eat,eat,eat
درّب,train,Train,Train,train,train,train,train
ستتمر,invest,To pass,Continue,chat,continue,pass by,continue
خطا,step,Write,Write,write,write,make a mistake,make a mistake
حدّ,limit,Limit,speak,eat,speak,limit,limit
وضّح,illustrate,Explain,clarify,to drink,clarify,clarify,clarify
ملك,own,Own,have,own,own,reign,own
عالج,tackle,Treat,Treat,treat,treat,treat,treat
تحدّا,challenge,Challenge,Challenge,challenge,challenge,challenge,challenge
شاف,view,See,see,see,see,see,see
ملك,possess,Own,have,own,own,reign,own
حاور,communicate,Interview,speak,talk,speak,converse,discuss
تسلّق,climb,Climbing,climb,climb,climb,climb,climb
فصل,separate,Quit,to separate,leave,disconnect,disconnect,disconnect
حافض,preserve,Keep,Remember,save,memorize,save,save
نفّد,implement,Run out,to exhaust,run,run out,run out,run out
حوّل,shift,Transform,Convert,transform,convert,transform,convert
أقرّ,acknowledge,Read,acknowledge,read,read,acknowledge,read
ستنتج,conclude,Produce,produce,produce,deduce,produce,produce
تيرا,shoot,Laughing,Throw,fly,throw,throw,throw
متاتل,comply,Laugh,Die,sleep,hesitate,hesitate,hesitate
حسّن,enhance,Improve,improve,improve,improve,improve,improve
راقب,monitor,Watch,Watch,watch,watch,watch,watch
ڭابل,monitor,Accept,Accept,accept,accept,accept,accept
شرا,purchase,Buy,Buy,buy,buy,buy,buy
شارجا,charge,Charge,Charge,charge,charge,charge,charge
بحت,research,Search,search,search,search,search,search
بغا,aim,Want,want,want,want,want,want
