darija_ar,eng,p1_transl,eng_p1_transl,p2_transl,eng_p2_transl,p3_transl,eng_p3_transl,p4_transl,eng_p4_transl
ڭال,say,Gaal,Go,Say,Say,Say,go,Say,go
قال,say,Said,Said,He said.,say,دير,say,كيفشي,say
عندو,have,He has.,He has.,He has.,have,Have,have,Has,have
شدّ,get,Pull,Pull,Pull,pull,Pull,tighten,Pull,pull
فكّر,think,Think,Think,Think,Think,Think,think,Think,think
با,want,"""bza""",With,Go,Come,Go,come,Go,come
لقا,find,Find,Find,Find,find,Find,find,Find,find
عطا,give,Give,Give,Give,give,Give,give,Give,give
خدم,work,Work,work,Work,work,Work,work,Work,work
عيط,call,Shout,Shout,Shout,Call,Shout,shout,Yell,shout
خاسّ,need,Lose,lose,Lose,Lose,Lose,lose,lose,lose
حسّ,feel,Feel,Feel,Feel,Feel,Feel,feel,Feel,feel
ولّا,become,To go,To be or not to be,To go,To leave,Go,leave,To go,leave
حطّ,put,Put,Put,Put,Put,Put,put,Put,put
عنا,mean,About us,Have,Have,Have,Have,have,Have,have
بدا,begin,Start,start/begin,Start,start,start,start,Start,start
خسّ,need,Lose,Lose,Lose,Lose,Lose,lose,Lose,lose
عجب,like,Like,like,Like,like,Like,like,Like,like
عاون,help,Help,Help,Help,Help,Help,help,Help,help
عتق,help,To free,Free / Liberate,Free,Free,Free,free,Freeing,free
وجّد,prepare,Find,Find,Find,Find,Find,find,Find,find
أمن,believe,Security,Security,To secure,Believe,Security,believe,Secure,believe
حاول,try,Try,Try,Try,Try,Try,try,Try,try
جرّب,try,Try,Try,Try,Try,Try,try,Try,try
سوّل,ask,To persuade,To suggest/advise.,To facilitate,To advise,Encourage,convince,suggest,advise
تفكّر,remember,Think,Think,Think,to think,Think,think,Think,think
مشا,leave,Go,Go,Go,to go,Go,go,Go,go
بيّن,show,Show,Explain,Show,Show,Show,show,Show,show
لعب,play,Play,play,Play,to play,Play,play,Play,play
جرا,run,Run,Run,Run,Run,Run,run,Run,run
جرّا,run,Run,to drag,Run,run,Run,run,Run,run
قرا,read,Read,Read,Read,Read,Read,read,Read,read
بدا,start,Start,start/begin,Start,start,Start,start,start,begin
سالا,finish,"""سالا"" بالدارجة المغربية تُترجم إلى ""he/she asked"" في الإنجليزية.",To ask,To ask,ask,Ask,ask,Ask,ask
قطّع,cut,Cut,cut,Cut,Cut,Cut,cut,Cut,cut
هضر,talk,Speak,Speak,Speak,speak,Speak,speak,Speak,speak
شكر,thank,Thank you,Thank,Thank,To thank,Thank.,thank,Thank,thank
بدّل,change,Change,Change,Change,change,Change,change,Change,change
كمّل,continue,Finish,Complete,Finish,Complete,Finish,complete,Finish,complete
فتارض,suppose,To accept,To accept,To accept,agree,Refuse,agree,Refuse,agree
تمنّا,wish,Wish,Wished,Wish,wish,wish,wish,wish,wish
تبع,follow,Follow,Follow,Follow,Follow,Follow,follow,Follow,follow
قبل,accept,Before,kiss,Before,Accept,"""before""",accept,"""before""",accept
رفض,reject,Refuse,Refuse,Refuse,refuse,Refuse,refuse,Refuse,refuse
وقع,happen,Fall,fall,Fall,fall,Fall,fall,Fall,fall
ڭلس,sit down,Ghless,To smile,To say goodbye,Swim,Hello,swim,Eat,swim
ربح,win,Win,win,Win,win,Win,win,Win,win
زاد,add,To increase,increase,Increase,increase,Increase,increase,Increase,increase
تعلّم,learn,Learn,Learn,Learn,learn,Learn,learn,Learn,learn
تسنّا,wait,Wait,We waited.,Wait,To wait,Wait,wait,Wait,wait
سيفط,send,Safta,He will open.,To fall,To open,To eat,to open,To fall,fall
حلّ,open,Solve,Solve/Resolve.,Solve,Solve,Solve,solve,Solve,solve
بنا,build,Build,Build,Build,build,Build,build,Build,build
ختار,choose,Choose,Choose,Choose,Choose,Choose,choose,Choose,choose
وصل,reach,Arrived,Arrive / Reach,Arrive,arrive,Arrive,arrive,Arrive,arrive
قرّر,decide,decided,decide,Decide,decide,Decide,decide,Decide,decide
نشط,enjoy,Active,Activate,Activate,Activate,Activate,activate,Active,activate
تفرّج,watch,Watch,Watch,Watch,Watch,Watch,watch,Watch,watch
خسر,lose,Lost,lose,Lose,lose,Lose,lose,Lose,lose
تمشّا,walk,Walk,Walk,Walk,walk,Walk,walk,Walk,walk
كبّر,raise,To exaggerate,Grow up,Grow,Grow,Grow,to grow up,Grow,grow
تخيّل,imagine,Imagine,Imagine,Imagine,Imagine,Imagine,imagine,Imagine,imagine
سبّب,cause,Cause,To cause,Cause,to cause,Cause,cause,Cause,cause
هرّس,break,Grind,To grind or to mince,Mash,Grind,Mash,plow,Grind,grind
سمع,listen,Listen,Listen,Listen,hear,to hear,hear,Listen,hear
كبر,grow,Grow,Grow,Grow,grow,Grow,grow,Grow,grow
مات,die,Die,die,Die,die,Die,die,Die,die
توفّا,die,Passed away,He died,Die,to die,Die,die,Die,die
زار,visit,Visited,Visited,Visit,to visit,visit,visit,visit,visit
شجّع,encourage,Cheer,Encourage,Encourage,Encourage,Support,encourage,Support,encourage
حاما,protect,Protect,Protect,Protect,Protect,Protect,protect,Protect,protect
نشر,spread,Publish,To publish,Publish,publish,Post,publish,Post,publish
قتل,kill,Kill,kill,Kill,to kill,Kill,kill,Kill,kill
صاڭ,drive,"""Saqq""",To swim,To go,Wake up,Go,swim,Listen,swim
كدب,lie,Lie,lie,Lie,lie,Lie,lie,lie,lie
تقاجح,argue,Argue,argue,Argue,Argue,Argue,argue,Argue,argue
حيّد,remove,Avoid,To remove or to get rid of,Avoid,To guide,Avoid,evacuate,Remove,remove
دابز,fight,Dabz,To jump,To dance,To push,Dance,to push,Dance,Jump
عمّر,fill,Live,To build/construct.,Live,To build,Live,build,Build,build
سافر,travel,Travel,Travel,Travel,to travel,Travel,travel,Travel,travel
حضر,attend,Attend,attend,Attend,Attend,Attend,attend,Attend,attend
قسّح,hurt,"""Qsehseh"" doesn't have a direct translation in English, as it is a colloquial Moroccan Arabic term. It can be roughly translated to ""to clean up"" or ""to tidy up.""",To cut into pieces.,To sweep,Cut,Sweep,to cut,Sleep,to divide
عانا,suffer,Suffer,suffer,Suffer,suffer,Suffer,suffer,Suffer,suffer
زڭل,miss,To annoy,To annoy,To mock,To annoy,Dance,play,Dance,to annoy
عبّر,express,Express,Express,Express,Express,Express,express,Express,express
ركّز,concentrate,Concentrate,Focus,Focus,Focus,Focus,focus,Focus,focus
لاح,throw,To see,See,To arrive,See,See,see,Watch,see
صاوب,prepare,Fix,To work,Work,To work,Work,work,Work,work
قرا,study,Read,Read,Read,Read,Read,read,Read,read
دفع,push,Pay,pay,Push,to pay,pay,pay,Pay,pay
ورّك,press,"""Warrek"" translates to ""leave"" in English.",To twist,Sit.,Show,Work,teach,Sit,Wake
وصل,arrive,Arrived,Arrive / Reach,Arrive,arrive,Arrive,arrive,Arrive,arrive
صونا,ring,"""Swona""",Our sleep,Listen,Protect,Protect,protect,Listen,protect
جمع,collect,Collect,Collect,Gather,to collect,Collect,to collect,Collect,to collect
هرب,escape,Escape,escape,Escape,to escape,Escape,escape,Escape,escape
رحّب,welcome,Welcome,Welcome,Welcome,Welcome,Welcome,welcome,Welcome,welcome
عوّل,rely,Trust,Trust,Trust,Trust,Trust,trust,Trust,trust
تاق,trust,Tag,To miss,Tag,to cook,Tag,miss,Tagging,fall
عاود,repeat,Repeat,Repeat,Repeat,Repeat,Repeat,repeat,Repeat,repeat
خطّط,plan,Plan,Plan,Plan,Plan,Plan,plan,Plan,plan
فرش,reveal,Sweep,Spread/lay (as in spreading or laying a carpet or blanket),Sweep,spread,Sweep,spread,to sweep,spread
أكّد,confirm,Confirm,Confirm,Confirm,confirm,Confirm,confirm,Confirm,confirm
كره,hate,Hate,hate,Hate,hate,Hate,hate,Hate,hate
تجوج,marry,"""tajwuj""",To marry,Get married,To marry,Getting married,marry,Getting married,marry
قسم,split,Divide,divide,Divide,divide,divide,divide,divide,divide
تبنّا,adopt,Adopted,To adopt,Adopting,Adopt,Adopt,adopt,Adopt,adopt
تجاهل,ignore,Ignore,Ignore,Ignore,Ignore,Ignore,ignore,Ignore,ignore
عرّف,define,Define,Define,Define,To define,Define,define,Define,define
قدّم,introduce,Present,Present,Present,present,give,present,apply,present
ترينا,exercise,Show us,Show us.,Show us,Show,Show us,show,Show us,show
برهن,demonstrate,Show,prove,To prove,prove,Show,prove,Show,prove
قنع,persuade,Convince,Convince,convince,convince,convince,convince,convince,convince
قلّع,guess,To uproot,To uproot,To uproot,Pull out,Remove,uproot,Remove,Pull
صوّت,vote,Vote,Vote,Vote,Vote,Vote,vote,Vote,vote
نكر,deny,Ignore,Deny,Sleep,Deny,Sleep,deny,Sleep,deny
خبّا,hide,Hide,Hide,Hide,Hide,Hide,hide,Hide,hide
نجح,succeed,Succeeded,succeed,Succeed,succeed,Succeed,succeed,Succeed,succeed
طلب,demand,Ask,asked,Ask,ask,ask,ask,Ask,ask
عتارف,recognize,Confess,To confess,Confess,Recognize,Confess,recognize,Confess,confess
حسب,count,According to,Calculate,According to,Calculate,Based,consider,Based on,calculate
نتاما,belong,You are.,You are sleeping.,To sleep,to sleep,Sleep,sleep,To eat,sleep
شكّ,doubt,"""Shukk"" translates to ""doubt"" in English.",To doubt,Doubt,Thank,Thank.,doubt,Doubt,doubt
غنّا,sing,Sing,We sang,Sing,to sing,Sing,sing,Sing,sing
نوا,intent,Sleep,sleep,Sleep,Sleep,Sleep,sleep,Sleep,sleep
برّر,justify,Justify,Justify,Justify,Justify,Justify,justify,Justify,justify
دافع,defend,Pay,To defend,Defend,defend,Defend,defend,Pay,defend
زعم,dare,Claim,Claim,Claim,Claim,Claim,claim,Claim,claim
تساراح,rest,"""Tsaragh"" in Moroccan Arabic translates to ""to walk"" in English.",To walk,To leave,To leave,Walk,to travel,Leave,to travel
حكم,judge,Rule,rule,Judge,judge,Judge,rule,Judge,rule
شارك,participate,Participate,Participate,Participate,Participate,Participate,participate,Participate,participate
غسل,wash,Wash,wash,Wash,wash,wash,wash,wash,wash
لاحض,observe,Notice,Notice/observe.,Notice,Notice,Notice,notice,Notice,notice
خدّم,employ,Work,Work,Work,work,Work,work,work,work
جمع,combine,Collect,Collect,Gather,to collect,Collect,to collect,Collect,gather
لحّ,insist,To rub,To knead,To rub,Rub,Rubbing,boil,Rub,Rub.
تلاح,jump,To watch,To search,Watch,To search,Read,to reveal,Watch,fight
طيّب,cook,Okay,To make something good or to be good.,To agree,To make something good,Okay,to make something good,Okay,To make
بكا,cry,Cried,Cry,Cry,cry,Cry,cry,Cry,cry
نعس,sleep,We are sleepy.,sleepy,We are sleepy.,to sleep,Sleep,sleep,Sleep,sleep
فاق,wake up,To surpass,To wake up,Wake up,wake up,Wake up,surpass,Wake,wake
جمع,gather,Collect,Collect/ gather.,Gather,to collect,Collect,gather,Collect,collect
نساحب,withdraw,"The verb ""nṣaḥb"" in Moroccan Arabic can be translated to English as ""to withdraw"" or ""to retreat.""",We withdraw.,To withdraw,to drag,Withdraw,drag,Withdraw,pull
حلّ,resolve,Solve,Solve/Resolve.,Solve,Solve,Solve,solve,Solve,solve
خبر,inform,Tell,news,Know,Tell,Know,to inform,Tell,inform
ستلزم,imply,It will be necessary.,It will require.,Require,require,Need,require,require,require
تسلّف,borrow,Borrow,To borrow,Borrow,borrow,Borrow,borrow,Borrow,borrow
خاطر,risk,Want,To dare,Want,Want,Want,want,Want,want
سمح,permit,Allow,Forgive,Allow,Allow,Allow,allow,Allow,allow
سامح,forgive,Forgive,Forgive,Forgive,forgive,Forgive,forgive,Forgive,forgive
قتارح,propose,Propose,I am going.,Suggest,to decide,Propose,decide,suggest,to decide
حتافل,celebrate,Celebrate,To celebrate,Celebrate,To travel,Celebrate,travel,Celebrate,travel
ضيّع,waste,To lose,To lose,To waste,To waste,Lose,lose,Lose,lose
غبر,disappear,To cross,To bury,Pass.,Dig,Leave,bury,Leave,Cover
توقّع,predict,Expect,To expect/anticipate/predict.,Expect,to expect,Expect,expect,Expect,expect
نڭر,complain,"""Ngar"" translates to ""to bite"" in English.",Look,To eat,Look,Watch,see,Watch,look
قبط,catch,To grab,To convert,Steal,To convert,Buy,steal,Buy,steal
ڭبض,catch,Grab,To grab/take.,Grab,Grab,Grab,grab,Grab,grab
ناض,get up,Get up,Sleep,Stand,stand,Stand,stand,Stand,stand
داز,pass,"""Daaz"" in Moroccan Arabic translates to ""to pass"" in English.",To pass,Pass,pass,Pass,pass,Pass,pass
حبس,stop,Imprison,imprison,Imprison,Imprison,Lock up,imprison,imprison,imprison
قيّد,note,Register,restrict,Restrict,to restrict,Restrict,restrict,Restrict,restrict
ولّف,habituate,To compose/To write,To wrap,To compose,Wrap,Write,wrap,Write,Wrap
خلّط,mix,Mix,Mix,Mix,mix,Mix,mix,Mix,mix
ڭيّد,mislead,To tie,Record,Record,Record,Restrict,tie,Limit,tie
حرڭ,burn,"""Harreg"" doesn't have a direct translation in English, but it can be roughly translated as ""to argue"" or ""to quarrel"" depending on the context.",To burn,Argue,Argue,Travel,argue,Travel,argue
حرق,burn,Burn,burn,Burn,burn,Burn,burn,Burn,burn
ستاغل,exploit,"""Stagel""",To work,To work,To work,Work,work,Work,work
كما,smoke,As,As,As,Assemble,"""like""",like,Like,eat
حدّر,warn,To drag,To push or shove,To warn,Prepare,Travel,to drag,Predict,warn
باس,kiss,"""bass""",Pass,To pass,to pass,Go,to pass,Pass,to pass
علن,announce,Announce,announce,Announce,Declare,Declare,announce,announce,announce
ختابر,evaluate,Chat with,To communicate,To try,To test,Study,to communicate,Study,to communicate
تنفّس,breathe,Breathe,Breathe,Breathe,breathe,Breathe,breathe,Breathe,breathe
فات,exceed,Missed,Missed,Missed,miss,Missed,miss,Missed,miss
صادق,approve,Honest,sincere,To be honest.,to be honest,Believe,be truthful,Tell the truth.,agree
حتلّ,occupy,To occupy,To clean,Occupy,Occupy,Occupy,to conquer,Occupy,occupy
حرّر,free,Edit,To free/To liberate,Free,Free,Edit,free,Edit,free
بتاسم,smile,To name,You are smiling.,To smile,To smile,Smile,smile,Smile,smile
حفر,dig,Dig,to dig,Dig,to dig,Dig,dig,Dig,dig
حتارم,respect,I respect,Respect,Respect,Respect,Respect,to swim,Respect,respect
هدّد,threaten,Threaten,Threaten,Threaten,Threaten,Threaten,threaten,Threaten,threaten
لغا,cancel,To leave,To swim,To go,Swim,Study,swim,To go,swim
خزن,store,Store,store,Store,store,Store,store,Store,store
نضّم,organize,Organize,Organize,Organize,Organize,organize,organize,organize,organize
نوّر,shine,"""Nwarr"" translates to ""to illuminate"" in English.",Illuminate/Enlighten,Illuminate,Illuminate,Illuminate,enlighten,Illuminate,light
حلف,swear,Swear,Swear,Swear,Swear,Swear,swear,Swear,swear
حلم,dream,Dream,Dream,Dream,Dream,Dream,dream,Dream,dream
صرط,absorb,"""Serṭ"" in Moroccan Arabic translates to ""walk"" in English.",To walk,To walk,walk,Drive,walk,Drive,walk
بلوكا,block,Block,Block,Block,Block,Block,block,Block,block
ستابق,anticipate,Run.,To compete,Run,To compete,Run,race,Run,compete
اتهم,accuse,Accuse,Accuse,Accuse,Accuse,Blame,accuse,Blame,accuse
غوّت,shout,"""ghott"" means ""to pour"" in Moroccan Arabic.",To dive,To swim,To swim,Go,to swim,Sing,to scream
أتّر,affect,Sit down,To delay,To come.,Wait,Watch,wait,Wait,wait
رتّب,arrange,Arrange,Arrange,Arrange,Organize,Arrange,arrange,Arrange,arrange
عتاقل,arrest,"""3taqel"" translates to ""to relax"" in English.",To delay,To release,To delay,Relax,delay,Cooking,Delay
نبح,bark,Bark,bark,Bark,bark,Bark,bark,bark,bark
خان,betray,Betray,He slept,Bet,to betray,to betray,to betray,cheat,to stay
تحاطّ,bet,Surround.,Surround,Surround,Surround,Surround,surround,Put,surround
ختالف,differ,Argue,disagree,Disagree,to argue,Argue,differ,Argue,disagree
حتافض,keep,I will sit down.,You will convince.,To sit down,convince,To clean,convince,To clean,convince
طار,fly,Fly,fly,Fly,fly,Fly,fly,Fly,fly
بان,appear,"""Ban""",appear,To appear,See,See,see,see,see
جرّ,pull,Walk,Pull,Run,drag,Travel,drag,Run,drag
هزّ,lift,Shake,shake,Shake,shake,Shake,shake,shake,shake
رجع,return,Come back,Return,Come back,return,Come back,return,Come,return
طاح,fall,Fall,fall,Fall,Fall,Fall,fall,Fall,fall
عرف,know,Know,know,Know,know,know,know,Know,know
نسا,forget,Forget,Forget,Forget,Forget,Forget,forget,Forget,forget
وصف,describe,Describe,Describe,Describe,Describe,Describe,describe,Describe,describe
ترجم,translate,I translate,Translate,Translate,Translate,نقل,translate,داير,translate
وعد,promise,Promise,Promise,Promise,Promise,Promise,promise,Promise,promise
قلّب,search,"""Turn over""",Turn,Turn,to flip,Flip,turn,Flip,turn
حبّ,love,Love,Love,Love,To love,Love,love,Love,love
عاش,live,"""عاش"" تُترجم إلى ""long live"" في الإنجليزية.",He lived.,Live,live,Live,live,Live,live
سكن,live,Live,To live/To reside,Live,to live,live,live,live,live
خلّص,pay,Finish,Finish/Complete,Finish,Finish,Finish,finish,Finish,finish
سدّ,close,Block,block/obstruct,Block,block,Block,block,Block,block
وقف,stand up,Stop,stop,Stop,to stop,Stop,stop,Stop,stop
ستخدم,use,You will use,You will use.,Use,use,Use,use,Use,use
ستالم,receive,You will receive.,You will receive.,Receive,To tolerate,Receive,to hurt,To suffer,receive
فشل,fail,Fail,fail,Fail,Fail,Fail,fail,Fail,fail
سبّ,insult,Insult,Curse,Insult,Curse,Insult,curse,Insult,curse
شكا,complain,"""Shka"" translates to ""complain"" in English.",complain,Complain,complain,Complain,complain,Complain,complain
فضح,expose,Expose,Expose,Expose,Expose,Expose,expose,Expose,expose
عتادر,apologize,"I'm sorry, but I'm not familiar with the word ""عتادر"" in Moroccan Arabic. Can you please provide more context or clarify the meaning so I can help you translate it into English?",To apologize,To apologize,To apologize,Travel,apologize,Apologize,apologize
عنّڭ,hug,I'm going,We are.,To pretend,To teach,Listen,deny,Write,deny
ندم,regret,Regret,regret,Regret,Regret,Regret,regret,Regret,regret
عطس,sneeze,Sneeze,Sneeze,Sneezing,sneeze,Sneeze,sneeze,Sneeze,sneeze
كحب,cough,"""Kheb"" translates to ""to eat"" in English.",To vomit,To love,To love,To love,to love,To love,vomit
أجّل,postpone,Postpone,Postpone,Postpone,Delay,Delay,delay,Delay,delay
تعاون,cooperate,Cooperate,Cooperate,Cooperate,cooperate,Cooperate,cooperate,Help,cooperate
تبادل,exchange,Exchange,exchange,Exchange,exchange,Exchange,exchange,Exchange,exchange
قاطع,boycott,Interrupt,interrupt,Interrupt,Interrupt,Interrupt,interrupt,boycott,interrupt
تطوّع,volunteer,Volunteer,volunteer,Volunteer,volunteer,Volunteer,volunteer,Volunteer,volunteer
تجنّب,avoid,Avoid,Avoid,Avoid,Avoid,Avoid,avoid,Avoid,avoid
همل,neglect,To hesitate,To hesitate,To hesitate,To hesitate,Forget,to whisper,Neglect,whisper
تلاقا,meet,Meet,Meet,Meet,meet,Meet,meet,Meet,meet
تجسّس,spy,Spy,Spy,Spy,to spy,Spy,spy,Spy,spy
نتاقم,revenge,Revenge,Revenge,Revenge,revenge,Revenge,avenge,Revenge,avenge
دفن,bury,Bury,bury,Bury,bury,bury,bury,Bury,bury
غلب,defeat,To defeat/overcome,To defeat/overcome.,To win,To defeat,Win,overcome,Overcome,defeat
كان,be,was,was,To be,to be,كاين,be,be,be
بغا,want,Wants,Want,Want,want,Want,want,want,want
قدر,can,"""قدر"" بالدارجة المغربية تُترجم إلى ""to estimate"" في الإنجليزية.","to be able, to can",To estimate,to be able,can,can,be able,be able
ڭدّ,can,Gdd (to go),To cut,Sit.,Cut,Go,sit,Sit,bite
دار,make,House,To do/To make,To live,to do,live,do,Go,do
خدا,take,Take,Take,Take,Take,Take,take,Take,take
شاف,look,See,See/Watch,See,see,See,see,See,see
خلّا,let,Leave,Leave,Let him go.,Leave,Let go,let,Let go,let
بان,seem,"""Ban""",Appear,To appear,See,see,see,see,see
تضمّن,include,Include,Include,Include,Include,Include,include,include,include
تحرّك,move,Move,Move,Move,move,Move,move,Move,move
ضار,turn,Harm,harm,Harm,Harm,Harm,harm,Harm,harm
عتابر,consider,I consider,To consider,Consider,To consider,Consider,consider,consider,consider
خلّا,allow,Leave,Leave,Let him go.,Leave,Let,let,Let go,let
تمنّا,hope,Wish,Wish,Wish,wish,wish,wish,wish,wish
نتج,produce,Produce,produce,Produce,produce,Produce,produce,Produce,produce
بقا,stay,Stay,Stay,Stay,stay,Stay,stay,Stay,stay
شدّ,hold,Pull,To tighten or to pull.,Pull,pull,Pull,pull,Pull,pull
توقّع,expect,Expect,To expect/anticipate/predict.,Expect,to expect,Expect,expect,Expect,expect
ضمن,ensure,Within,guarantee,Within,Ensure,Within,guarantee,Within,guarantee
هزّ,carry,Shake,shake,Shake,shake,Shake,shake,shake,shake
عرض,offer,"""عرض"" بالدارجة المغربية تُترجم إلى ""show"" في الإنجليزية.",Present,Present,Present,Show,present,Show,present
دعم,support,Support,Support,Support,Support,Support,support,Support,support
هضر,speak,Speak,Speak,Speak,speak,Speak,speak,Speak,speak
دوا,speak,Take,Push,Go,Cure,Go,cure,Treat,cure
قاد,lead,Drive,drive,Drive,drive,Drive,drive,Drive,drive
بقا,remain,Stay,Stay,Stay,stay,Stay,stay,Stay,stay
وقف,stand,Stop,stop,Stop,to stop,Stop,stop,Stop,stop
وڭف,stand,"""وڭف"" يترجم إلى ""to stand"" في الإنجليزية.",To stop,To stand,Stand,Watch,stop,Understand,stop
قتارح,suggest,Propose,"I am sorry, but ""قتارح"" is not a valid verb in Moroccan Darija. It seems like a misspelling or a typo. If you provide more context or details, I may be able to help you further.",Suggest,to decide,Propose,decide,suggest,decide
طوّر,develop,Develop,Develop,Develop,Develop,Develop,develop,Develop,develop
ڭلس,sit,Ghless,To smile,To say goodbye,Swim,Eat,swim,Eat,swim
ڭادّ,create,Gadd,To call,To call,Call,Go,call,Sleep,return
صاوب,create,Fix,To work,Work,To work,Work,fix,Study,work
اتفق,agree,Agreed.,agree,Agree,agree,Agree,agree,agree,agree
طبّق,apply,Cook,Apply,Apply,Apply,Apply,apply,Apply,apply
كوّن,form,Create,To form/construct/shape.,Form,to form,Form,form,Form,form
زاد,increase,To increase,increase,Increase,increase,Increase,increase,Increase,increase
لتاحق,join,To search,To search,To search,To achieve,To search,to search,To search,to search
نقّص,reduce,To lack,To decrease,Lack,to decrease,Lack,decrease,Lack,lack
نقد,save,Critique,criticize,Critique,criticize,Critique,criticize,Critique,criticize
تطلّب,require,Ask,To demand/ask for.,To demand,to demand,Ask,request,ask,request
حقق,achieve,Achieve,Achieve,Achieve,Achieve,Achieve,achieve,Achieve,achieve
حبس,prevent,Imprison,To imprison,Imprison,Imprison,Detain,imprison,imprison,imprison
تعامل,deal,Deal,deal,Deal,deal,Deal,deal,Deal,deal
تواجه,face,Face,Face,Face,face,Face,face,face,face
غطّا,cover,To cover,Covered,Cover,Cover,Cover,cover,Cover,cover
طوّر,improve,Develop,Develop,Develop,Develop,Develop,develop,Develop,develop
مال,tend,What is wrong?,Money,To ask,To go,Spend,go,Go,go
رسم,draw,Draw,To draw,Draw,to draw,Draw,draw,Draw,draw
تحرّك,act,Move,Move,Move,move,Move,move,Move,move
عزل,pick,Isolate,To isolate,Isolate,Isolate,Isolate,isolate,Isolate,isolate
ختار,pick,Choose,Choose,Choose,Choose,Choose,choose,Choose,choose
كلّف,cost,To assign/charge.,Assign,To assign,to assign,Assign,assign,Assign,assign
سوا,cost,Do.,He did/ made/ performed,Do,Do,Do,do,Do,do
برهن,prove,Show,prove,To prove,prove,prove,prove,Show,prove
وقع,occur,Fall,fall,Fall,fall,Fall,fall,Fall,fall
تناقش,discuss,Discuss,discuss,Discuss,discuss,Discuss,discuss,Discuss,discuss
ڭابل,maintain,Accept,Accept,Accept,Accept,Accept,accept,Accept,accept
سالا,end,Ask,To ask,To ask,ask,Ask,ask,Ask,ask
كمّل,end,Please provide the verb in Darija so I can translate it into English.,Complete,Finish,Complete,Finish,complete,Finish,complete
كاين,exist,There is,There is/there are.,There is,exist,There is,exist,There is,exist
قصد,seek,Mean,intend,Mean,intend,intend,intend,Mean,intend
قلّب,check,Turn,Flip,Turn,Turn,Flip,turn,Flip,turn
نفع,serve,To benefit,benefit,Do,benefit,Do,benefit,Benefit,benefit
قسم,share,Divide,divide,Divide,divide,divide,divide,divide,divide
پارتاجا,share,Share,Share,Share,Share,Share,share,Share,share
نشء,establish,We create.,We grow/develop.,Grow,To create,Create,grow,Create,grow
أسّس,establish,Established,Found,Found,Establish,Establish,establish,Found,establish
تحكّم,control,Control,control,Control,control,Control,control,Control,control
جاوب,answer,Answer,Answer,Answer,answer,Answer,answer,Answer,answer
حدّد,identify,Specify,Specify,Define,to specify,Identify,determine,Specify,determine
عتانا,care,"""3tana"" translates to ""he/she argued"" in English.",He annoyed us.,Argued,Argue,Arguing,argue,Argue,argue
مكّن,enable,Enable,Enable,Enable,Enable,Enable,enable,Enable,enable
طالب,claim,Student,student,Study,to ask,Student,ask,study,ask
