Human,GPT
recruit,Work
co-operate,Help
wander,Go
emphasize,Argue
weigh,Pass
weigh,to eat
coincide,Invite
bend,We.
bend,Give
regulate,I invite
rescue,"I can translate ""n9ed"" to ""sleep""."
entertain,To wash
forecast,Cook
inspect,Win
export,Arrange
urge,To eat
induce,wait
lock,block
exhibit,To study
warm,Laugh
warm,Sweep
confess,Know
tolerate,Listen
tolerate,Build
mount,Buy
brush,to swim
reproduce,sleep
undergo,Take
impress,Sell
decline,Push
rub,Break
cater,Eat
tour,to live
distribute,To grow
sense,Feel
repay,Eat
regain,To return
regain,return
minimize,To walk
halt,Clean
shape,Push
disturb,Play
bite,Count
progress,Study
devote,To break
provoke,to pour
reassure,Trust
contemplate,Work
alert,Arrange
interact,To do
heat,Laugh
devise,to eat
govern,Hide
embrace,Answer
comfort,Stay
seize,Eat
melt,Turn
supplement,increase
lean,Knock
exert,Cook
beware,Search
resemble,Cook
abolish,I eat
wed,Fly
crack,To run
suppress,Understand
guard,Before
surprise,Wake up
hesitate,To trade
load,Eat
swallow,Turn
initiate,start
float,Invite
effect,Write
manipulate,Fix
deter,Return
associate,Cook
administer,to return
murder,Read
persist,Cook
greet,Welcome
tear,Invite
hunt,Look
spoil,to study
line,To write
bless,sell
penetrate,Choose
multiply,Weaken
merge,Mix
coach,Hit
drain,come
drain,to clean
suffice,enough
presume,To open
fish,Hear
shop,Sleep
race,Wake up
honor,I scratched
freeze,to gather
cure,Invite
cure,To show
swap,exchange
endure,Do
chase,Wait
consume,To choose
insert,Eat
await,Wait
drift,Sleep
substitute,change
surrender,Listen
wind,Visit
contract,To ask
differentiate,clean
advertise,Play
reconcile,To ask
project,To take a photo
co-ordinate,forget
snap,Break
damn,Curse
bake,Delicious
fold,Come
concede,Go down
renew,Renew
formulate,Help
confuse,Played
maximize,Take
sweep,to walk
steer,Appear
base,Sit
indulge,Ask
decrease,Hide
reserve,Eat
reserve,Book
host,Understand
evolve,Fly
foster,To water
discourage,To play
curb,Answer
allocate,Cut
supervise,to look
fade,to escape
endorse,Stay
condemn,to return
book,Eat
reform,To forgive
complement,finish
punish,Return
bang,Open
outline,To study
diminish,To eat
prevail,happy
leap,We win
wrap,Eat
compromise,Invite
collapse,To read
collapse,to go
safeguard,Protect
inhibit,I eat
scream,Turn
date,Promise
delete,To swim
attain,To eat
dislike,Create
conceive,To take a photo
dictate,To say
unite,Play
import,To store
rebuild,Build
flourish,To visit
criticize,Situate
boil,Clean
boil,Buy
inflate,Lock
flee,Run
commence,start
praise,To wipe
park,swim
discriminate,Invite
track,To cook
enclose,Answer
interview,Accept
tighten,Cut
color,Color
venture,Rain
speculate,Eat
speculate,Sit
depart,to be able
interrupt,To give
disguise,Choose
elect,We choose
withstand,Do
restrain,Write
thrive,Sleep
echo,Repeat
divert,We write
fry,Read
dissolve,hit
edit,Change
assemble,Eat
ruin,Steal
accelerate,Drive
envisage,To swim
congratulate,Invite
retrieve,to wait
descend,Write
suspend,Go out
experiment,Try
frighten,Eat
fool,Say
inspire,Eat
heal,pour
master,Hit
terminate,Finish
amend,Change
scratch,Take
entail,to ask
execute,I opened
execute,Stand
consolidate,To find
round,turn
isolate,Leave
warrant,Run
weaken,Push
march,To walk
desire,Want
widen,forget
chat,Push
board,ride
invent,Choose
manufacture,To sleep
seal,block
reconsider,Return
suck,Eat
picture,Take a picture
crash,To support
crash,Whistle
transport,Study
plug,Block
assign,Need
inquire,travel
trap,Hear
surround,turn
debate,Dance
upgrade,Fly
decorate,decorate
accumulate,Sleep
profit,to ask
inherit,Throw
disrupt,Hide
choke,Sleep
plead,Push
dip,To swim
subscribe,Buy
educate,Teach
divorce,To fold
spin,Choose
obscure,to wash
creep,Whisper
twist,To show
blend,To mix
revise,Return
attribute,Calculate
explode,explode
dwell,live
alleviate,Lighten
remedy,To show
instruct,To search
spill,Break
comprehend,Understand
soften,Cook
wave,buy
stock,To push
position,Promise
insure,Trust
adhere,Draw
cling,Laughed
summon,pray
pause,to eat
pause,Stand
empty,Eat
classify,Cook
afford,Do
sound,Listen
grade,I walk
revert,Come
value,Celebrate
award,pay
strive,Finish
notify,Arrive
turn off,Cover
sit down,Go
cheat,to laugh
peel,Search
